Ran for I = 113.859, e0=0.003, amp=0.081
Ran for I = 113.899, e0=0.003, amp=0.081
Ran for I = 113.939, e0=0.003, amp=0.081
Ran for I = 113.979, e0=0.003, amp=0.082
Ran for I = 114.019, e0=0.003, amp=0.082
Ran for I = 114.059, e0=0.003, amp=0.082
Ran for I = 114.099, e0=0.003, amp=0.082
Ran for I = 114.139, e0=0.003, amp=0.078
Ran for I = 114.179, e0=0.003, amp=0.079
Ran for I = 114.219, e0=0.003, amp=0.083
Ran for I = 114.259, e0=0.003, amp=0.083
Ran for I = 114.299, e0=0.003, amp=0.083
Ran for I = 114.339, e0=0.003, amp=0.083
Ran for I = 114.379, e0=0.003, amp=0.084
Ran for I = 114.419, e0=0.003, amp=0.084
Ran for I = 114.459, e0=0.003, amp=0.084
Ran for I = 114.499, e0=0.003, amp=0.084
Ran for I = 114.540, e0=0.003, amp=0.084
Ran for I = 114.580, e0=0.003, amp=0.084
Ran for I = 114.620, e0=0.003, amp=0.085
Ran for I = 114.660, e0=0.003, amp=0.085
Ran for I = 114.700, e0=0.003, amp=0.085
Ran for I = 114.740, e0=0.003, amp=0.085
Ran for I = 114.780, e0=0.003, amp=0.085
Ran for I = 114.820, e0=0.003, amp=0.086
Ran for I = 114.860, e0=0.003, amp=0.086
Ran for I = 114.900, e0=0.003, amp=0.086
Ran for I = 114.940, e0=0.003, amp=0.086
Ran for I = 114.980, e0=0.003, amp=0.087
Ran for I = 115.020, e0=0.003, amp=0.087
Ran for I = 115.060, e0=0.003, amp=0.087
Ran for I = 115.100, e0=0.003, amp=0.087
Ran for I = 115.140, e0=0.003, amp=0.087
Ran for I = 115.180, e0=0.003, amp=0.088
Ran for I = 115.220, e0=0.003, amp=0.088
Ran for I = 115.260, e0=0.003, amp=0.088
Ran for I = 115.300, e0=0.003, amp=0.087
Ran for I = 115.340, e0=0.003, amp=0.089
Ran for I = 115.380, e0=0.003, amp=0.089
Ran for I = 115.420, e0=0.003, amp=0.089
Ran for I = 115.460, e0=0.003, amp=0.089
Ran for I = 115.501, e0=0.003, amp=0.089
Ran for I = 115.541, e0=0.003, amp=0.090
Ran for I = 115.581, e0=0.003, amp=0.090
Ran for I = 115.621, e0=0.003, amp=0.090
Ran for I = 115.661, e0=0.003, amp=0.090
Ran for I = 115.701, e0=0.003, amp=0.091
Ran for I = 115.741, e0=0.003, amp=0.091
Ran for I = 115.781, e0=0.003, amp=0.091
Ran for I = 115.821, e0=0.003, amp=0.091
Ran for I = 115.861, e0=0.003, amp=0.092
Ran for I = 115.901, e0=0.003, amp=0.092
Ran for I = 115.941, e0=0.003, amp=0.092
Ran for I = 115.981, e0=0.003, amp=0.092
Ran for I = 116.021, e0=0.003, amp=0.093
Ran for I = 116.061, e0=0.003, amp=0.093
Ran for I = 116.101, e0=0.003, amp=0.093
Ran for I = 116.141, e0=0.003, amp=0.093
Ran for I = 116.181, e0=0.003, amp=0.094
Ran for I = 116.221, e0=0.003, amp=0.094
Ran for I = 116.261, e0=0.003, amp=0.094
Ran for I = 116.301, e0=0.003, amp=0.095
Ran for I = 116.341, e0=0.003, amp=0.095
Ran for I = 116.381, e0=0.003, amp=0.095
Ran for I = 116.421, e0=0.003, amp=0.095
Ran for I = 116.461, e0=0.003, amp=0.096
Ran for I = 116.502, e0=0.003, amp=0.096
Ran for I = 116.542, e0=0.003, amp=0.096
Ran for I = 116.582, e0=0.003, amp=0.097
Ran for I = 116.622, e0=0.003, amp=0.097
Ran for I = 116.662, e0=0.003, amp=0.097
Ran for I = 116.702, e0=0.003, amp=0.098
Ran for I = 116.742, e0=0.003, amp=0.098
Ran for I = 116.782, e0=0.003, amp=0.098
Ran for I = 116.822, e0=0.003, amp=0.099
Ran for I = 116.862, e0=0.003, amp=0.099
Ran for I = 116.902, e0=0.003, amp=0.099
Ran for I = 116.942, e0=0.003, amp=0.099
Ran for I = 116.982, e0=0.003, amp=0.100
Ran for I = 117.022, e0=0.003, amp=0.100
Ran for I = 117.062, e0=0.003, amp=0.101
Ran for I = 117.102, e0=0.003, amp=0.101
Ran for I = 117.142, e0=0.003, amp=0.101
Ran for I = 117.182, e0=0.003, amp=0.102
Ran for I = 117.222, e0=0.003, amp=0.102
Ran for I = 117.262, e0=0.003, amp=0.102
Ran for I = 117.302, e0=0.003, amp=0.103
Ran for I = 117.342, e0=0.003, amp=0.103
